NCHILD,NCHLT5,SEX,AGE,MARST,RACE,RACED,HISPAN,EDUC,EMPSTAT,INCWAGE,VETSTAT
0,0,1,29,6,1,100,0,0,1,30000,1
0,0,2,21,6,1,100,0,6,1,40000,1
2,0,1,54,1,1,100,0,0,1,12000,1
2,0,2,47,1,1,100,0,7,1,30000,1
1,0,2,54,1,4,400,0,6,1,31000,1
1,0,1,53,1,4,400,0,6,1,32000,1
0,0,1,20,6,4,400,0,6,1,1000,1
2,1,1,36,1,7,700,1,7,1,62000,1
0,0,1,59,1,7,700,1,8,1,71000,1
0,0,2,60,1,6,620,0,7,1,40000,1
0,0,1,35,6,1,100,0,11,1,70000,1
0,0,1,32,6,1,100,0,11,1,108000,1
2,0,2,44,6,8,826,4,3,1,100,1
2,0,1,48,3,8,826,4,2,1,200,1
2,0,2,39,6,8,826,1,8,1,49000,1
3,3,2,35,1,6,600,0,10,1,40000,1
3,3,1,42,1,6,600,0,11,1,110000,1
2,0,1,49,1,1,100,0,11,1,108000,1
2,0,2,48,1,1,100,0,10,1,78000,1
0,0,1,18,6,1,100,0,7,1,2000,1
1,0,2,43,1,8,826,2,7,1,68000,1
1,0,1,45,1,8,826,1,6,1,68000,1
0,0,2,23,6,8,826,1,10,1,25000,1
1,0,2,63,4,8,826,1,7,1,25000,1
0,0,1,60,6,8,826,1,10,1,45000,1
1,1,1,33,1,1,100,0,11,1,80000,1
1,1,2,32,1,1,100,0,10,1,72000,1
0,0,2,40,4,1,100,0,7,1,750,1
1,0,1,45,1,1,100,0,10,1,133000,1
1,0,2,38,1,1,100,0,11,1,92000,1
1,0,1,38,1,6,610,0,11,1,8000,1
2,0,2,43,6,1,100,0,10,1,72000,1
2,0,1,37,6,7,700,4,0,1,110000,1
1,0,1,38,1,7,700,4,6,1,33000,1
1,1,2,20,6,7,700,1,5,1,400,1
5,0,2,34,1,1,100,1,6,1,40000,1
5,0,1,31,1,1,100,1,6,1,30000,1
1,1,1,30,2,1,100,1,7,1,30300,1
2,0,1,40,1,1,100,0,7,1,565000,2
2,0,2,42,1,1,100,0,11,1,86000,1
0,0,2,46,6,1,100,0,11,1,157000,1
2,0,2,63,4,8,826,1,1,1,16000,1
3,1,1,26,3,8,826,1,7,1,52000,1
0,0,2,24,6,8,826,1,10,1,10000,1
2,0,2,58,1,6,620,0,10,1,3600,1
0,0,1,33,6,6,620,0,10,1,60000,1
0,0,1,29,6,6,620,0,10,1,80000,1
2,0,1,44,1,6,610,0,10,1,108000,1
2,0,2,42,1,6,610,0,11,1,80000,1
0,0,1,30,1,1,100,0,11,1,100000,1
0,0,2,30,1,1,100,0,10,1,120000,1
0,0,1,24,6,1,100,0,6,1,50000,1
0,0,2,42,6,8,885,0,11,1,87000,1
0,0,2,38,6,1,100,0,6,1,87000,1
0,0,1,58,4,7,700,1,7,1,90000,1
1,0,1,50,1,6,600,0,8,1,21000,1
1,0,2,50,1,6,600,0,6,1,25600,1
2,0,1,61,1,6,640,0,10,1,90000,1
2,0,2,57,1,6,640,0,10,1,77000,1
0,0,1,24,6,6,640,0,10,1,25000,1
0,0,1,57,4,1,100,0,8,1,136000,2
0,0,2,65,1,8,802,0,10,1,53000,1
2,0,2,45,1,4,400,0,11,1,173000,1
2,0,1,43,1,4,400,0,11,1,60000,1
0,0,1,20,6,1,100,0,7,1,8000,1
1,0,1,63,1,1,100,0,8,1,100000,1
3,2,1,37,1,1,100,0,11,1,300000,1
0,0,1,59,6,1,100,0,10,1,130,1
0,0,1,45,4,1,100,0,6,1,74000,1
1,0,1,58,1,1,100,1,2,1,0,1
0,0,2,64,4,8,826,1,7,1,24000,1
0,0,1,56,4,8,826,1,6,1,49000,1
0,0,1,23,6,8,826,1,7,1,20000,1
0,0,2,50,2,6,600,0,6,1,120000,1
0,0,1,46,4,6,600,0,6,1,120000,1
0,0,2,52,4,1,100,0,8,1,150000,1
2,1,1,33,1,8,826,1,10,1,60000,1
3,0,1,41,1,1,100,0,7,1,0,1
3,0,2,34,1,8,826,1,0,1,12000,1
0,0,1,19,6,8,826,1,6,1,6000,1
2,0,1,42,1,6,600,0,10,1,35000,1
2,0,2,40,1,6,600,0,10,1,28000,1
1,0,1,50,1,6,600,0,8,1,34000,1
1,0,1,47,1,6,600,0,8,1,28000,1
1,0,2,44,1,6,600,0,6,1,28000,1
1,0,2,40,1,6,600,0,10,1,28000,1
2,1,2,38,4,6,610,0,10,1,20400,1
2,1,1,41,4,6,610,0,6,1,30000,1
4,0,2,35,1,6,661,0,7,1,56000,1
1,0,1,65,1,6,610,0,8,1,85000,1
0,0,1,40,6,6,610,0,8,1,58000,1
0,0,1,61,4,1,100,0,11,1,74000,1
0,0,2,56,1,1,100,0,7,1,20000,1
0,0,1,56,1,1,100,0,7,1,140000,1
0,0,2,60,1,1,100,0,7,1,1500,1
0,0,1,55,1,1,100,0,6,1,60000,1
1,0,1,53,1,1,100,0,10,1,225000,1
0,0,2,26,6,1,100,0,6,1,56000,1
0,0,1,33,6,9,943,0,8,1,250000,1
2,0,1,37,1,6,699,0,10,1,55000,1
0,0,1,60,4,1,100,0,7,1,16000,1
